frame,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_THUMB_TIP_x,RIGHT_THUMB_TIP_y,RIGHT_THUMB_TIP_z,RIGHT_INDEX_FINGER_TIP_x,RIGHT_INDEX_FINGER_TIP_y,RIGHT_INDEX_FINGER_TIP_z,LEFT_THUMB_TIP_x,LEFT_THUMB_TIP_y,LEFT_THUMB_TIP_z,LEFT_INDEX_FINGER_TIP_x,LEFT_INDEX_FINGER_TIP_y,LEFT_INDEX_FINGER_TIP_z
13,0.1514,-0.468,0.0192,-0.1286,-0.4744,-0.1305,0.136,-0.2279,0.0114,-0.0072,-0.2533,-0.1741,0.1642,-0.0522,-0.1014,0.2253,-0.1616,-0.2062,0.0462,0.7148,0.2118,-0.0751,0.6942,0.2161,0.8252,0.4063,-0.0029,0.8026,0.406,-0.005,0.6606,0.5511,-0.02,0.6651,0.5629,-0.0123
14,0.1514,-0.4678,0.0161,-0.1293,-0.4743,-0.1305,0.1359,-0.2273,0.0044,-0.0072,-0.2526,-0.1739,0.164,-0.0516,-0.1128,0.2248,-0.1616,-0.2067,0.0444,0.7152,0.2117,-0.0755,0.6952,0.214,0.8197,0.4062,-0.0011,0.8136,0.4086,-0.0046,0.6607,0.5509,-0.0213,0.6652,0.5632,-0.0137
15,0.1507,-0.4677,0.0126,-0.1294,-0.474,-0.1343,0.1349,-0.2265,0.0051,-0.0068,-0.252,-0.1749,0.1638,-0.0487,-0.1039,0.2249,-0.1617,-0.2083,0.043,0.716,0.2146,-0.0753,0.6947,0.2176,0.8182,0.4065,-0.0004,0.8184,0.4084,-0.0045,0.6608,0.5513,-0.0211,0.6654,0.5635,-0.013
16,0.1507,-0.4676,0.0125,-0.1294,-0.474,-0.1343,0.1342,-0.226,0.0052,-0.0068,-0.2519,-0.1751,0.1633,-0.0483,-0.1038,0.225,-0.1618,-0.2096,0.0423,0.7166,0.2146,-0.075,0.6946,0.2178,0.8226,0.4052,-0.0016,0.8113,0.4078,-0.0049,0.6608,0.5513,-0.0212,0.6653,0.5638,-0.0117
17,0.1506,-0.4674,0.0107,-0.1295,-0.4738,-0.1345,0.1344,-0.2259,0.0044,-0.0068,-0.2516,-0.1761,0.1633,-0.0484,-0.1039,0.225,-0.1622,-0.2154,0.0418,0.7177,0.2159,-0.0748,0.6942,0.2229,0.8216,0.4053,-0.0027,0.8022,0.4055,-0.0053,0.6603,0.5514,-0.0218,0.6651,0.5637,-0.0124
18,0.1512,-0.4674,0.01,-0.1295,-0.4736,-0.1369,0.1354,-0.2259,0.0118,-0.0074,-0.2506,-0.1764,0.1642,-0.0457,-0.0814,0.2227,-0.1617,-0.2154,0.0416,0.7207,0.2159,-0.0741,0.6939,0.224,0.8223,0.4048,-0.0044,0.802,0.4055,-0.007,0.6607,0.5515,-0.0216,0.6652,0.5642,-0.0119
19,0.1512,-0.4672,0.0097,-0.1295,-0.4732,-0.1393,0.1356,-0.2256,0.0172,-0.0079,-0.2497,-0.1764,0.1667,-0.0449,-0.0731,0.2223,-0.1617,-0.2132,0.041,0.7245,0.2158,-0.0741,0.6936,0.2242,0.8179,0.4054,-0.004,0.8028,0.4061,-0.0065,0.6605,0.5515,-0.0211,0.6656,0.5641,-0.0125
20,0.1513,-0.4672,0.0093,-0.1324,-0.4731,-0.1394,0.1359,-0.2256,0.0179,-0.0122,-0.2497,-0.1765,0.1664,-0.044,-0.071,0.2164,-0.162,-0.2127,0.0378,0.7272,0.2146,-0.0765,0.6933,0.2228,0.8118,0.4068,-0.0048,0.7897,0.404,-0.0086,0.6598,0.552,-0.0223,0.666,0.5648,-0.012
21,0.1542,-0.467,-0.0042,-0.1353,-0.4722,-0.1407,0.1452,-0.2255,0.0124,-0.0231,-0.2474,-0.1732,0.1682,-0.0421,-0.0727,0.1995,-0.159,-0.2101,0.0378,0.7297,0.2144,-0.0764,0.6937,0.2227,0.8066,0.4075,-0.0072,0.7798,0.4041,-0.0117,0.6602,0.5521,-0.0221,0.6659,0.5651,-0.0128
22,0.1567,-0.4671,-0.0116,-0.1375,-0.4706,-0.1449,0.153,-0.2262,0.0099,-0.0296,-0.244,-0.1701,0.1699,-0.0414,-0.0738,0.187,-0.1568,-0.2046,0.0377,0.731,0.2146,-0.0765,0.694,0.2225,0.7935,0.4102,-0.008,0.7687,0.4071,-0.0132,0.66,0.5527,-0.0211,0.6654,0.565,-0.0135
