frame,NOSE_x,NOSE_y,NOSE_z,NOSE_v,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_v,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_v
0,0.50644850730896,0.539553701877594,-0.7145445942878723,0.9999443292617798,0.7586973309516907,0.9191665053367615,-0.18448607623577118,0.9978942275047302,0.2773750424385071,0.8845158815383911,-0.1711978018283844,0.9984650611877441
1,0.5055257081985474,0.5420246720314026,-0.8146655559539795,0.9999432563781738,0.7593178749084473,0.919673502445221,-0.21632368862628937,0.9979192614555359,0.275520920753479,0.8930698037147522,-0.20435471832752228,0.9984419941902161
2,0.5056220889091492,0.5437494516372681,-0.7897344827651978,0.9999427199363708,0.7594324946403503,0.920594334602356,-0.21257451176643372,0.9979270100593567,0.27446457743644714,0.8985284566879272,-0.20418515801429749,0.9984087944030762
3,0.506249189376831,0.5453519821166992,-0.8976376056671143,0.9999422430992126,0.7586685419082642,0.9207626581192017,-0.21644416451454163,0.9979713559150696,0.2739800214767456,0.9006995558738708,-0.24588267505168915,0.9983751773834229
4,0.5100497603416443,0.5465202927589417,-0.9114363789558411,0.999942421913147,0.7583929896354675,0.9208893775939941,-0.22085276246070862,0.9980279207229614,0.27334773540496826,0.9030498266220093,-0.2534990608692169,0.9983347058296204
5,0.5166674256324768,0.549770712852478,-0.870048999786377,0.9999417066574097,0.7580224275588989,0.9216724634170532,-0.2187151461839676,0.9980742335319519,0.2727257311344147,0.9053102135658264,-0.24722979962825775,0.9982977509498596
6,0.5258813500404358,0.5525507926940918,-0.857620120048523,0.9999414682388306,0.7575191259384155,0.922177791595459,-0.21182358264923096,0.9980921149253845,0.2710888981819153,0.9075058698654175,-0.24457783997058868,0.9982660412788391
7,0.5355843901634216,0.5545126795768738,-0.9278793334960938,0.9999397993087769,0.7569999098777771,0.922432005405426,-0.2215362936258316,0.9981115460395813,0.267784059047699,0.909724771976471,-0.2831326425075531,0.9982126951217651
8,0.5421485304832458,0.5551513433456421,-0.9503498077392578,0.9999370574951172,0.7570168375968933,0.9235135316848755,-0.2200130671262741,0.9980944395065308,0.2648178040981293,0.9128568172454834,-0.30138275027275085,0.9981295466423035
9,0.5484838485717773,0.5551249384880066,-0.996286928653717,0.999927282333374,0.7570777535438538,0.9243044257164001,-0.22484338283538818,0.9979572892189026,0.26229652762413025,0.9157511591911316,-0.32324495911598206,0.9979977607727051
