frame,NOSE_x,NOSE_y,NOSE_z,NOSE_v,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_v,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_v,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_v,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_v,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_v,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_v,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_v,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_v
0,0.5041036009788513,0.5361884832382202,-0.6658561825752258,0.9999381303787231,0.7404706478118896,0.9129024147987366,-0.22319042682647705,0.9993745684623718,0.2758808135986328,0.9031649827957153,-0.2712019681930542,0.9996765851974487,0.832628071308136,1.331210732460022,-0.10727749019861221,0.22376322746276855,0.19664986431598663,1.3139090538024902,-0.02761150524020195,0.1689993441104889,0.8132555484771729,1.678865671157837,-0.1940697580575943,0.020510409027338028,0.22009308636188507,1.680355191230774,-0.10168912261724472,0.035949964076280594,0.6387887001037598,1.7515811920166016,-0.037105534225702286,0.0005791787407360971,0.34249046444892883,1.743622899055481,0.04165414720773697,0.0006504320772364736
1,0.5032720565795898,0.540058970451355,-0.8292872905731201,0.999942421913147,0.7414524555206299,0.9138595461845398,-0.25149455666542053,0.9993576407432556,0.27583056688308716,0.904118001461029,-0.32379963994026184,0.9996565580368042,0.8369530439376831,1.3306596279144287,-0.14375443756580353,0.21029938757419586,0.1876727044582367,1.3214365243911743,-0.22034572064876556,0.1687496304512024,0.8172106146812439,1.6870197057724,-0.2978594899177551,0.02062395215034485,0.20636026561260223,1.6808491945266724,-0.5665205121040344,0.0375518761575222,0.6497633457183838,1.7516463994979858,-0.03935335949063301,0.0005481375264935195,0.3452087342739105,1.74515700340271,0.044319648295640945,0.0006114512798376381
2,0.502219557762146,0.5424633622169495,-0.869076132774353,0.9999459981918335,0.7423881888389587,0.9142899513244629,-0.2759840488433838,0.9993425607681274,0.2757394313812256,0.904576301574707,-0.33765432238578796,0.9996349811553955,0.8390804529190063,1.3305331468582153,-0.170209601521492,0.19826149940490723,0.18107114732265472,1.3234729766845703,-0.21896839141845703,0.1679939329624176,0.8171793222427368,1.6908568143844604,-0.3417360484600067,0.020527532324194908,0.2010565847158432,1.6806154251098633,-0.5430445075035095,0.03830701857805252,0.6533934473991394,1.751674771308899,-0.04173634201288223,0.0005238844896666706,0.3459671437740326,1.7456495761871338,0.04704535752534866,0.0005807426059618592
3,0.501612663269043,0.5442782640457153,-0.9242281913757324,0.9999493360519409,0.7430455088615417,0.9145215153694153,-0.2957194745540619,0.9993314743041992,0.2756039500236511,0.9051655530929565,-0.35246002674102783,0.9996093511581421,0.8397443890571594,1.3306498527526855,-0.18750080466270447,0.18715950846672058,0.17687489092350006,1.3260018825531006,-0.229270800948143,0.16617853939533234,0.8168993592262268,1.694622278213501,-0.38486793637275696,0.02080811746418476,0.19760200381278992,1.6806508302688599,-0.5791598558425903,0.03898073732852936,0.6548547148704529,1.7520993947982788,-0.04493530094623566,0.0005010624299757183,0.3462527096271515,1.7464771270751953,0.050561122596263885,0.0005513342330232263
4,0.5011555552482605,0.5455697774887085,-0.9281869530677795,0.9999521374702454,0.7437930703163147,0.9147871136665344,-0.30584248900413513,0.9993081092834473,0.2752814292907715,0.9057579040527344,-0.3556957244873047,0.9995812773704529,0.8397852182388306,1.3312073945999146,-0.19036045670509338,0.1762351542711258,0.17383287847042084,1.3275105953216553,-0.2150273621082306,0.16382811963558197,0.8143373727798462,1.6976094245910645,-0.37834784388542175,0.020843952894210815,0.19608736038208008,1.6807035207748413,-0.5419259667396545,0.03930015489459038,0.6553849577903748,1.7523795366287231,-0.047115616500377655,0.00047760302550159395,0.3462936580181122,1.7468944787979126,0.052905045449733734,0.0005223471089266241
5,0.5007977485656738,0.5483296513557434,-0.9117839336395264,0.9999539852142334,0.7439852952957153,0.9151540398597717,-0.2948942482471466,0.9992577433586121,0.27485281229019165,0.9060584902763367,-0.3565940856933594,0.9995543956756592,0.8328146934509277,1.3317251205444336,-0.18295708298683167,0.16424377262592316,0.17320525646209717,1.329896092414856,-0.22886419296264648,0.16237089037895203,0.807460606098175,1.697397232055664,-0.34529292583465576,0.019939672201871872,0.19524213671684265,1.6807631254196167,-0.5638923048973083,0.03883766010403633,0.6551539301872253,1.750794529914856,-0.047004733234643936,0.0004530177393462509,0.34607020020484924,1.7456414699554443,0.05275232344865799,0.0004932605661451817
6,0.5004814267158508,0.5502347946166992,-0.9091728329658508,0.9999555349349976,0.744115948677063,0.9153883457183838,-0.289436012506485,0.999210774898529,0.2744329273700714,0.9062576293945312,-0.35788795351982117,0.9995306730270386,0.8285358548164368,1.3321069478988647,-0.18013502657413483,0.15342725813388824,0.1728714555501938,1.3314980268478394,-0.2296227365732193,0.16116264462471008,0.8032246232032776,1.6972044706344604,-0.33201512694358826,0.019096173346042633,0.19499073922634125,1.6808322668075562,-0.5585408806800842,0.038415469229221344,0.6550583243370056,1.7496380805969238,-0.046943869441747665,0.0004311864613555372,0.3457928001880646,1.7446420192718506,0.052650079131126404,0.0004674081865232438
7,0.5004041194915771,0.5511824488639832,-0.8831989765167236,0.999957799911499,0.7443671226501465,0.9165255427360535,-0.286079078912735,0.9991763830184937,0.27380403876304626,0.9070442318916321,-0.3563288450241089,0.9995173215866089,0.8287139534950256,1.3329864740371704,-0.17948700487613678,0.14397186040878296,0.17136235535144806,1.3319255113601685,-0.22599612176418304,0.15889234840869904,0.8028872013092041,1.69778573513031,-0.3303740918636322,0.01846275106072426,0.1947636604309082,1.680586576461792,-0.5353051424026489,0.03824036940932274,0.6548908948898315,1.7500008344650269,-0.04639426991343498,0.0004113642789889127,0.34525033831596375,1.745148777961731,0.052152421325445175,0.00044438798795454204
8,0.5003861784934998,0.552193820476532,-0.8795241713523865,0.9999600052833557,0.744537353515625,0.9171074032783508,-0.2851388454437256,0.9991527199745178,0.27343475818634033,0.9074394106864929,-0.35510018467903137,0.9995078444480896,0.8287957310676575,1.3335696458816528,-0.17107459902763367,0.1353781819343567,0.170561745762825,1.3330711126327515,-0.22813758254051208,0.15783527493476868,0.8027893900871277,1.698104739189148,-0.3272896111011505,0.017856594175100327,0.1942538172006607,1.6806257963180542,-0.5510935187339783,0.03810741379857063,0.6547306776046753,1.7500123977661133,-0.04595803841948509,0.00039216154254972935,0.344944566488266,1.7451560497283936,0.051770251244306564,0.0004217909590806812
9,0.5003600716590881,0.5528959631919861,-0.8733154535293579,0.9999611973762512,0.7445879578590393,0.9172128438949585,-0.28348320722579956,0.9991109371185303,0.2733270227909088,0.9074558615684509,-0.35242459177970886,0.9994916319847107,0.8271305561065674,1.333808183670044,-0.1680111140012741,0.12729215621948242,0.17051322758197784,1.3330382108688354,-0.23323580622673035,0.15730437636375427,0.7997146844863892,1.6980547904968262,-0.32990139722824097,0.01721951551735401,0.1938115507364273,1.6804910898208618,-0.5761926174163818,0.03806080296635628,0.6543171405792236,1.7488254308700562,-0.04490521177649498,0.000373868242604658,0.34464821219444275,1.743690848350525,0.05073798447847366,0.0004003987996838987
