frame,NOSE_x,NOSE_y,NOSE_z,NOSE_v,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_v,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_v
0,0.5090413093566895,0.532669723033905,-0.8257258534431458,0.9999586343765259,0.729056715965271,0.9107323288917542,-0.24655519425868988,0.9960517287254333,0.28471753001213074,0.8827913999557495,-0.28593385219573975,0.9984764456748962
1,0.5049726366996765,0.5305997133255005,-0.6777706742286682,0.9999591708183289,0.7299767732620239,0.9116427898406982,-0.22712527215480804,0.9961252808570862,0.28185591101646423,0.8833872675895691,-0.2543109357357025,0.9984574317932129
2,0.5025795698165894,0.5293949842453003,-0.6632009148597717,0.9999605417251587,0.7303075790405273,0.9117169976234436,-0.21231094002723694,0.9962717890739441,0.27991554141044617,0.8847453594207764,-0.2459123432636261,0.9984797835350037
3,0.5014474987983704,0.5294196009635925,-0.6371222734451294,0.9999621510505676,0.7302844524383545,0.9114735722541809,-0.18221117556095123,0.9964126944541931,0.2783360481262207,0.8860626816749573,-0.22342172265052795,0.9985226392745972
4,0.5006376504898071,0.5299898982048035,-0.6462691426277161,0.9999639391899109,0.7300492525100708,0.9100682735443115,-0.17922477424144745,0.9965593218803406,0.27765142917633057,0.8861309289932251,-0.21681885421276093,0.9985717535018921
5,0.5003916621208191,0.5300818085670471,-0.654059648513794,0.9999650716781616,0.7296751141548157,0.9097434878349304,-0.18434689939022064,0.9966496825218201,0.27711912989616394,0.8873611688613892,-0.22416694462299347,0.9985983371734619
6,0.5001882910728455,0.5305390357971191,-0.6498088836669922,0.9999657273292542,0.7296700477600098,0.9097303748130798,-0.189283087849617,0.9967553019523621,0.27712535858154297,0.8884815573692322,-0.22451412677764893,0.9986110925674438
7,0.5000292658805847,0.5309823155403137,-0.6537073254585266,0.9999662041664124,0.7296270132064819,0.9094007611274719,-0.19080492854118347,0.9968135952949524,0.277138888835907,0.8890049457550049,-0.22517667710781097,0.9986323714256287
8,0.49994614720344543,0.5322816371917725,-0.6607165932655334,0.9999663829803467,0.7296827435493469,0.9090923070907593,-0.1938769817352295,0.9968578815460205,0.2771528363227844,0.8898820877075195,-0.2274438589811325,0.9986543655395508
9,0.49995750188827515,0.5341850519180298,-0.6241403818130493,0.999967634677887,0.729688823223114,0.9090046286582947,-0.16717272996902466,0.9968864321708679,0.2771632671356201,0.8898606896400452,-0.19357967376708984,0.9986914992332458
10,0.4999655783176422,0.5353279709815979,-0.6171467900276184,0.9999683499336243,0.7298726439476013,0.909005880355835,-0.15498679876327515,0.9968521595001221,0.2771883010864258,0.8903368711471558,-0.18444707989692688,0.9987161159515381
11,0.4999740719795227,0.5356826186180115,-0.6299483180046082,0.999969482421875,0.7298949360847473,0.9090129137039185,-0.1605389416217804,0.9968768358230591,0.2771591544151306,0.8904822468757629,-0.19223399460315704,0.9987643957138062
12,0.500027060508728,0.5358663201332092,-0.6276260614395142,0.9999707937240601,0.7298828959465027,0.9090104699134827,-0.1620805561542511,0.996957004070282,0.27700182795524597,0.8908745646476746,-0.1908014714717865,0.9988082051277161
