frame,NOSE_x,NOSE_y,NOSE_z,NOSE_v,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_v,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_v
0,0.48959627747535706,0.5249636769294739,-0.6002108454704285,0.9999114274978638,0.7563326358795166,0.9078674912452698,-0.21404282748699188,0.9982277750968933,0.2626032531261444,0.8768309950828552,-0.11015870422124863,0.998388409614563
1,0.4894179701805115,0.5335204005241394,-0.850324809551239,0.9999169111251831,0.7544692754745483,0.908923864364624,-0.21310389041900635,0.9983336329460144,0.25953295826911926,0.8922920227050781,-0.16804099082946777,0.9983916282653809
2,0.48900464177131653,0.53819340467453,-0.802669107913971,0.9999210834503174,0.7536720633506775,0.9094457030296326,-0.19359394907951355,0.9983999729156494,0.25833946466445923,0.9029042720794678,-0.1704864352941513,0.9983794093132019
3,0.4884888231754303,0.5435973405838013,-0.8840693831443787,0.999924898147583,0.7513907551765442,0.9094306826591492,-0.19404451549053192,0.9984921813011169,0.2576105296611786,0.9084008932113647,-0.18523141741752625,0.9984042048454285
4,0.4884815812110901,0.5475192070007324,-0.9553462266921997,0.999923825263977,0.7508440017700195,0.9094346761703491,-0.2626642882823944,0.9985684752464294,0.2558761239051819,0.9099826216697693,-0.21873721480369568,0.9984046220779419
5,0.48866334557533264,0.5484545230865479,-1.0372308492660522,0.9999248385429382,0.7505119442939758,0.9094352126121521,-0.2826494574546814,0.9986362457275391,0.2548690140247345,0.9098728895187378,-0.2598089575767517,0.9984297156333923
6,0.4899941384792328,0.549395740032196,-1.0704600811004639,0.999926745891571,0.7501596808433533,0.9095372557640076,-0.2921042740345001,0.9986990094184875,0.2530882656574249,0.9099674820899963,-0.28303971886634827,0.9984676837921143
7,0.4929627478122711,0.5494640469551086,-1.0776643753051758,0.9999297261238098,0.7494022250175476,0.9095277786254883,-0.2924782633781433,0.9987627267837524,0.2520228922367096,0.9097186326980591,-0.2848713994026184,0.9985057711601257
8,0.49727874994277954,0.5494959354400635,-1.0792797803878784,0.9999319911003113,0.7481773495674133,0.9095160365104675,-0.2868357002735138,0.998813807964325,0.2513074278831482,0.9097462296485901,-0.29327699542045593,0.9985285997390747
9,0.5027417540550232,0.5513461828231812,-1.1280412673950195,0.9999353289604187,0.7460482120513916,0.9084606766700745,-0.2873968482017517,0.9988604187965393,0.2499016970396042,0.9096183776855469,-0.2995692789554596,0.9985601305961609
10,0.5086972713470459,0.5518861413002014,-1.1418832540512085,0.999934732913971,0.7445499897003174,0.9070473313331604,-0.29344823956489563,0.9988412857055664,0.24948321282863617,0.9095045328140259,-0.30742761492729187,0.998535692691803
11,0.5169954299926758,0.551101565361023,-1.1639957427978516,0.9999335408210754,0.7443217039108276,0.9061444401741028,-0.30045872926712036,0.9988022446632385,0.24868500232696533,0.9093669652938843,-0.33247750997543335,0.9984996318817139
12,0.5235179662704468,0.5480624437332153,-1.1635680198669434,0.9999337196350098,0.7443646192550659,0.9057114720344543,-0.2980027496814728,0.9987333416938782,0.24770832061767578,0.9091694355010986,-0.3335598111152649,0.9984503984451294
13,0.5302932858467102,0.5482209324836731,-1.1508821249008179,0.9999306201934814,0.7443777322769165,0.9053108096122742,-0.28481683135032654,0.9986602663993835,0.2467910200357437,0.9089142680168152,-0.33397555351257324,0.9983803033828735
